ciudad,sector,pmc,ccmc,ap,dsc,bps,ac
Guayaquil,Parroquia Olmedo,107.58841417532861,7.009735950902924e-06,1184.6274509803923,0.009264620884339412,2.018018018018018,2.0
Guayaquil,Parroquia Pedro Carbo,70.81412310617702,4.619711423036134e-06,810.0960698689956,0.007918460337977396,2.0116822429906542,50.0
Guayaquil,Parroquia Roca,65.0442093894084,9.647057210353765e-06,670.6734693877551,0.009598406968562758,2.078125,52.0
Guayaquil,Parroquia Rocafuerte,62.239745180588585,7.854783303802713e-06,896.7327766179541,0.0045640326950920785,1.9526881720430107,85.0
Guayaquil,Parroquia Sucre,80.47562056314983,0.0,1466.8354430379748,0.015101313239634642,2.278688524590164,5.0
Guayaquil,Parroquia Urdaneta,71.7786611393806,2.2405081731027445e-06,624.1509433962265,0.022201532904456887,2.6041666666666665,3.0
Guayaquil,Pascuales,56.30289641392865,1.7726043148511459e-06,807.688679245283,0.13928090130089762,2.5741758241758244,1.0
Guayaquil,Plaza Madeira,81.09108584456402,0.0,550.0,0.15029732523888736,3.06,0.0
Guayaquil,Portal al Sol,98.25719564934032,1.1342402106733685e-05,672.9285714285714,0.10472855862566166,2.8282828282828283,0.0
Guayaquil,Portico del Rio,273.3814432722197,0.0,1900.0,0.07414344183354862,4.75,0.0
Guayaquil,Portofino,185.0015663753964,9.028949666494412e-06,992.0,0.10562608139572519,2.1363636363636362,2.0
Guayaquil,Porton de Beata,23.54297590567771,0.0,0.0,0.1565425256986062,1.3833333333333333,0.0
Guayaquil,Pradera,38.5491592594825,3.2262863423744916e-06,254.16666666666666,0.045384139262324215,2.210526315789474,0.0
Guayaquil,Prosperina,30.471559566374854,3.701805582222275e-07,1390.888888888889,0.07964526766826571,2.413612565445026,3.0
Guayaquil,Puerto Azul,103.99748805993,5.894869260479336e-07,824.1336206896551,0.08533067120673442,3.0455445544554456,1.0
Guayaquil,Puerto Hondo,120.43240999958975,0.0,650.8585858585859,0.14799458281722772,3.0077220077220077,8.0
Guayaquil,Puerto Lisa,114.18291021787623,2.837495609484999e-07,778.1927710843373,0.04897378687699464,3.2270114942528734,9.0
Guayaquil,Puerto Santa Ana,92.00123760543472,1.849662280434604e-05,949.7905844155844,0.016837263800754766,1.5258883248730966,48.0
Guayaquil,Punta Esmeralda,125.45757416930894,3.5112279533836043e-06,810.0,0.11236713146800624,4.190476190476191,0.0
Guayaquil,Renacer,77.76295919585264,1.6414121340999198e-05,600.0,0.06290775715281556,4.0,0.0
Guayaquil,Rio Grande,187.9751532166413,1.0782670620323287e-05,2500.0,0.050020026823826225,4.5,0.0
Guayaquil,Rio Lindo,102.53190175453165,1.8480225069256055e-05,0.0,0.09089280632761824,3.0,0.0
Guayaquil,Romareda,79.91976854391943,7.712240883683971e-06,557.9411764705883,0.13658034417836593,2.961904761904762,0.0
Guayaquil,Rosales,27.748546853792803,4.962269269892618e-06,283.36842105263156,0.08243039159437415,2.5555555555555554,0.0
Guayaquil,Samanes,70.62990628058722,3.184935950579321e-06,427.42914979757086,0.08453956759191834,2.6247877758913414,18.0
Guayaquil,Sambocity,57.63895935352166,0.0,371.25,0.1482622357017889,2.6666666666666665,0.0
Guayaquil,San Bernardo,158.4060279915517,4.686834141900182e-05,1185.0,0.06615371548649926,3.5,0.0
Guayaquil,San Eduardo,47.37780291747318,4.899936592001386e-06,3391.4285714285716,0.04740118201538716,2.3333333333333335,0.0
Guayaquil,San Felipe,52.964630588682816,2.006683451976389e-06,550.7353951890034,0.06818859632538332,1.947176684881603,56.0
