Descripcion_1,Descripcion_2,precio,mt2,latitud,longitud,Nombre_sector
Departamento,Departamento,178000,300,-0.1817369996757024,-78.47550850199568,Iñaquito
Departamento,Departamento,75000,70,-0.1964314124940435,-78.50698501564881,Belisario Quevedo
Lote,Lote,1590000,863,-0.2006803992797115,-78.49700187514568,Mariscal Sucre
Casa,Casa,650000,470,-0.1582072882048511,-78.47873516425278,El Inca
Casa,Casa,85000,144,-0.08712430148216298,-78.47270606445036,Carcelen
Departamento,Departamento,95000,60,-0.2059591648211141,-78.48877671560795,Mariscal Sucre
Departamento,Departamento,209000,200,-0.2063198992072149,-78.4801859973398,La Paz
Departamento,Departamento,278000,186,-0.1981414440704939,-78.48007855783501,La Paz
Casa,Casa,140000,167,-0.1110035165935773,-78.48321567539327,Ponceano
Departamento,Departamento,88000,115,-0.1420595365566371,-78.46796682489888,San Isidro del Inca
Departamento,Departamento,199000,190,-0.1802198284068309,-78.47892645930715,Iñaquito
Departamento,Departamento,157000,107,-0.1960925591166713,-78.47983705700145,La Paz
Casa,Casa,109000,140,-0.09896517908251905,-78.46600378492843,Comite del Pueblo
Departamento,Departamento,129000,112,-0.1084497028984405,-78.48027297209408,Ponceano
Departamento,Departamento,84900,58,-0.1789071956913879,-78.4783489309869,Iñaquito
Casa,Casa,330000,560,-0.122028000622056,-78.4900469702014,Ponceano
Departamento,Departamento,105000,72,-0.1950503877371766,-78.47793841562485,La Paz
Departamento,Departamento,180000,177,-0.1816144611382076,-78.48024669757494,Iñaquito
Departamento,Departamento,108000,65,-0.1779352099397362,-78.48116066531874,Iñaquito
Departamento,Departamento,167576,98,-0.1990252221362052,-78.4839909650684,La Paz
Departamento,Departamento,375000,495,-0.1840226760911891,-78.48397238584046,Iñaquito
Departamento,Departamento,255000,143,-0.1703261065000203,-78.47794084368846,El Inca
Lote,Lote,1100000,55000,-0.2781950565874727,-78.5411381917503,Turubamba
Casa,Casa,139000,390,-0.1320190558847978,-78.47849738902956,Kennedy
Casa,Casa,395000,95,-0.09122312061955284,-78.4805436946331,Carcelen
Lote,Lote,78000,2400,-0.1582072882048511,-78.47873516425278,El Inca
Departamento,Departamento,110000,137,-0.1710555758197129,-78.47845108263056,Iñaquito
Casa,Casa,99000,130,-0.1710555758197129,-78.47845108263056,Iñaquito
Casa,Casa,93000,103,-0.08798084918261996,-78.46895964823973,Carcelen
Departamento,Departamento,240000,311,-0.188805539602579,-78.48281853333614,Iñaquito
Departamento,Departamento,115000,98,-0.122028000622056,-78.4900469702014,Ponceano
Departamento,Departamento,163113,115,-0.1819492912252414,-78.47903008453808,Iñaquito
Local,Local,2100000,2400,-0.1085610372815727,-78.47419106415097,Comite del Pueblo
Departamento,Departamento,55000,90,-0.1094853282089619,-78.49917672981579,Cotocollao
Departamento,Departamento,197000,208,-0.2067027228841951,-78.4811699436969,La Paz
Lote,Lote,185000,1010,-0.2781950565874727,-78.5411381917503,Turubamba
