Descripcion_1,Descripcion_2,precio,mt2,ubicacion
Casa,Casa en venta en Centro De Guayaquil,Nada,435 m² Totales,"https://www.google.com/maps/@-2.221879256773271,-79.88984813015132,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Via A La Costa,$ 148.000,190 m² Totales,Nada
Casa,Casa en venta en Norte De Guayaquil,$ 130.000,150 m² Totales,Nada
Oficina/Consultorio,Oficina/Consultorio en venta en Norte De Guayaquil,$ 127.900,Nada,"https://www.google.com/maps/@-2.17816120011039,-79.87713413849617,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Kennedy Norte,$ 116.000,90 m² Totales,"https://www.google.com/maps/@-2.15699745914011,-79.90210022056046,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Centro De Guayaquil,$ 195.000,Nada,"https://www.google.com/maps/@-2.21760983657429,-79.8919890760279,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Norte De Guayaquil,Nada,100 m² Totales,Nada
Departamento,Departamento en venta en Norte De Guayaquil,$ 92.000,80 m² Totales,"https://www.google.com/maps/@-2.1638518197668,-79.90674788982061,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Norte De Guayaquil,$ 150.000,140 m² Totales,Nada
Bodega,Bodega en venta en Norte De Guayaquil,$ 150.000,21 m² Totales,"https://www.google.com/maps/@-2.154740793738683,-79.89019224324029,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 350.000,480 m² Totales,"https://www.google.com/maps/@-2.162677228330639,-79.94190970771638,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 59.500,84 m² Totales,"https://www.google.com/maps/@-2.059700891448395,-79.9547228135841,13z?hl=es-ES&gl=US"
Local,Local en venta en Norte De Guayaquil,$ 1.800.000,600 m² Totales,"https://www.google.com/maps/@-2.147047629848536,-79.91173020287876,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Sur De Guayaquil,$ 55.000,220 m² Totales,"https://www.google.com/maps/@-2.253236086622479,-79.8844918209309,13z?hl=es-ES&gl=US"
Lote,Lote en venta en Guayaquil,$ 160.000,600 m² Totales,"https://www.google.com/maps/@-2.049104171827505,-79.91139317774885,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Samanes,Nada,300 m² Totales,"https://www.google.com/maps/@-2.1147435333186,-79.90342359965204,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Norte De Guayaquil,$ 215.000,Nada,"https://www.google.com/maps/@-2.1638518197668,-79.90674788982061,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Sur De Guayaquil,$ 168.000,235 m² Totales,"https://www.google.com/maps/@-2.226587227237411,-79.89444485041204,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Kennedy Norte,$ 88.000,140 m² Totales,Nada
Casa,Casa en venta en Guayaquil,$ 235.000,89 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 72.000,105 m² Totales,"https://www.google.com/maps/@-2.160207941263499,-79.89697769362284,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Ciudad Celeste,$ 130.000,98 m² Totales,Nada
Casa,Casa en venta en Norte De Guayaquil,$ 39.500,105 m² Totales,"https://www.google.com/maps/@-2.081924678271996,-79.92253464808414,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Centro De Guayaquil,$ 80.000,200 m² Totales,"https://www.google.com/maps/@-2.198007210253407,-79.91393740362007,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 95.000,Nada,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio en venta en Kennedy Norte,$ 94.500,97 m² Totales,"https://www.google.com/maps/@-2.16391123632474,-79.89816712235148,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 130.000,10 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio en venta en Puerto Santa Ana,$ 109.000,83 m² Totales,"https://www.google.com/maps/@-2.179125941420345,-79.87611984147239,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Centro De Guayaquil,$ 439.000,425 m² Totales,"https://www.google.com/maps/@-2.217502614533075,-79.92377795777145,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Puerto Santa Ana,$ 185.000,85 m² Totales,"https://www.google.com/maps/@-2.179125941420345,-79.87611984147239,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 540.000,808 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 240.000,240 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
